Iteración,Xa,Xb,Xr,f(xa),F(xb),,Error,F(xr),,iteración,Xa,Xb,Xr,F(xa),F(xb),F(xr),Error
1,0,1,0.5,-2,3,,,-0.875,,1,0,6,3,0,41.68156616,14.01666952,
2,0.5,1,0.75,-0.875,3,,0.25,0.671875,,2,0,3,1.5,0,14.01666952,-1.229180602,-1.5
3,0.5,0.75,0.625,-0.875,0.671875,,0.125,-0.193359375,,3,1.5,3,2.25,-1.229180602,14.01666952,1.292668476,0.75
4,0.625,0.75,0.6875,-0.193359375,0.671875,,0.0625,0.215576172,,4,1.5,2.25,1.875,-1.229180602,1.292668476,-0.44175634,-0.375
5,0.625,0.6875,0.65625,-0.193359375,0.215576172,,0.03125,0.005279541,,5,1.875,2.25,2.0625,-0.44175634,1.292668476,0.266215866,0.1875
6,0.625,0.65625,0.640625,-0.193359375,0.005279541,,0.015625,-0.095485687,,6,1.875,2.0625,1.96875,-0.44175634,0.266215866,-0.121163711,-0.09375
7,0.640625,0.65625,0.6484375,-0.095485687,0.005279541,,0.0078125,-0.045465946,,7,1.96875,2.0625,2.015625,-0.121163711,0.266215866,0.063485544,0.046875
8,0.6484375,0.65625,0.65234375,-0.045465946,0.005279541,,0.00390625,-0.0201841,,8,1.96875,2.015625,1.9921875,-0.121163711,0.063485544,-0.031006967,-0.0234375
9,0.65234375,0.65625,0.654296875,-0.0201841,0.005279541,,0.001953125,-0.007475026,,9,1.9921875,2.015625,2.00390625,-0.031006967,0.063485544,0.015686175,0.01171875
10,0.654296875,0.65625,0.655273438,-0.007475026,0.005279541,,0.000976563,-0.001103432,,10,1.9921875,2.00390625,1.998046875,-0.031006967,0.015686175,-0.007797259,-0.005859375
11,0.655273438,0.65625,0.655761719,-0.001103432,0.005279541,,0.000488281,0.002086632,,11,1.998046875,2.00390625,2.000976563,-0.007797259,0.015686175,0.003910067,0.002929688
12,0.655273438,0.655761719,0.655517578,-0.001103432,0.002086632,,0.000244141,0.000491244, ,12,1.998046875,2.000976563,1.999511719,-0.007797259,0.003910067,-0.001952172,-0.001464844
13,0.655273438,0.655517578,0.655395508,-0.001103432,0.000491244,,0.00012207,-0.000306183,,13,1.999511719,2.000976563,2.000244141,-0.001952172,0.003910067,0.000976801,0.000732422
14,0.655395508,0.655517578,0.655456543,-0.000306183,0.000491244,,6.10352E-05,9.25086E-05,,14,1.999511719,2.000244141,1.99987793,-0.001952172,0.000976801,-0.000488222,-0.000366211
,,,,,,,,,,,,,,,,,
1,0,-1,-0.5,-2,1,,,-1.125,,,,,,,,,
2,-0.5,-1,-0.75,-1.125,1,,0.25,-0.171875,,,,,,,,,
3,-0.75,-1,-0.875,-0.171875,1,,0.125,0.392578125,,,,,,,,,
4,-0.75,-0.875,-0.8125,-0.171875,0.392578125,,0.0625,0.104248047,,,,,,,,,
5,-0.75,-0.8125,-0.78125,-0.171875,0.104248047,,0.03125,-0.035430908,,,,,,,,,
6,-0.78125,-0.8125,-0.796875,-0.035430908,0.104248047,,0.015625,0.034015656,,,,,,,,,
7,-0.78125,-0.796875,-0.7890625,-0.035430908,0.034015656,,0.0078125,-0.000807285,,,,,,,,,
8,-0.7890625,-0.796875,-0.79296875,-0.000807285,0.034015656,,0.00390625,0.016579449,,,,,,,,,
9,-0.7890625,-0.79296875,-0.791015625,-0.000807285,0.016579449,,0.001953125,0.007879876,,,,,,,,,
10,-0.7890625,-0.791015625,-0.790039063,-0.000807285,0.007879876,,0.000976563,0.003534741,,,,,,,,,
11,-0.7890625,-0.790039063,-0.789550781,-0.000807285,0.003534741,,0.000488281,0.001363339,,,,,,,,,
12,-0.7890625,-0.789550781,-0.789306641,-0.000807285,0.001363339,,0.000244141,0.000277929,,,,,,,,,
13,-0.7890625,-0.789306641,-0.78918457,-0.000807285,0.000277929,,0.00012207,-0.000264702,,,,,,,,,
14,-0.78918457,-0.789306641,-0.789245605,-0.000264702,0.000277929,,6.10352E-05,6.60752E-06,,,,,,,,,
,,,,,,,,,,,,,,,,,
1,-3.5,-4,0.25,4.125,-2,,,-1.734375,,,,,,,,,
2,-3.5,0.25,-1.875,4.125,-1.734375,,-2.125,5.470703125,,,,,,,,,
3,-1.875,0.25,-1.0625,5.470703125,-1.734375,,0.8125,1.316162109,,,,,,,,,
4,-1.0625,0.25,-0.65625,1.316162109,-1.734375,,0.40625,-0.559967041,,,,,,,,,
5,-1.0625,-0.65625,-0.203125,1.316162109,-0.559967041,,0.453125,-1.843341827,,,,,,,,,
6,-1.0625,-0.203125,-0.4296875,1.316162109,-1.843341827,,-0.2265625,-1.340808392,,,,,,,,,
7,-1.0625,-0.4296875,-0.31640625,1.316162109,-1.340808392,,0.11328125,-1.631224692,,,,,,,,,
8,-1.0625,-0.31640625,-0.373046875,1.316162109,-1.631224692,,-0.056640625,-1.495258801,,,,,,,,,
9,-1.0625,-0.373046875,-0.344726563,1.316162109,-1.495258801,,0.028320313,-1.565620453,,,,,,,,,
10,-1.0625,-0.344726563,-0.358886719,1.316162109,-1.565620453,,-0.014160156,-1.531025786,,,,,,,,,
11,-1.0625,-0.358886719,-0.351806641,1.316162109,-1.531025786,,0.007080078,-1.548470724,,,,,,,,,
12,-1.0625,-0.351806641,-0.35534668,1.316162109,-1.548470724,,-0.003540039,-1.539785023,,,,,,,,,
13,-1.0625,-0.35534668,-0.35357666,1.316162109,-1.539785023,,0.00177002,-1.544137082,,,,,,,,,
14,-1.0625,-0.35357666,-0.35446167,1.316162109,-1.544137082,,-0.00088501,-1.541963353,,,,,,,,,
